permalink,api_path,web_path,api_url,name,stock_exchange,stock_symbol,primary_role,short_description,profile_image_url,domain,homepage_url,facebook_url,twitter_url,linkedin_url,city_name,region_name,country_code,created_at,updated_at
convertpack,organizations/convertpack,organization/convertpack,https://api.crunchbase.com/v3.1/organizations/convertpack,Convertpack,,,company,Convertpack offers plug-and-play solutions that increase conversions on your website. All customizable.,http://public.crunchbase.com/t_api_images/ae9x40b5vvmxjrdp7ai6,convertpack.io,https://convertpack.io,https://www.facebook.com/convertpack,https://twitter.com/convertpack,https://www.linkedin.com/company/convertpack,,,,1570454205,1598884091
knnb-travelmew,organizations/knnb-travelmew,organization/knnb-travelmew,https://api.crunchbase.com/v3.1/organizations/knnb-travelmew,KNNB (Travelmew),,,company,"Short Video, Travel Infotainment",http://public.crunchbase.com/t_api_images/dvifgqpwrmmtmyiipfzk,travelmew.com/intro,https://travelmew.com/intro,https://web.facebook.com/pg/travelmew,,https://www.linkedin.com/company/knnb,Singapore,Central Region,Singapore,1595026428,1598884037
sangeeta-metal-corporation,organizations/sangeeta-metal-corporation,organization/sangeeta-metal-corporation,https://api.crunchbase.com/v3.1/organizations/sangeeta-metal-corporation,Sangeeta Metal Corporation,,,company,"Sangeeta Metal Corporation have firmly placed themselves as manufacturer, exporter, supplier, wholesaler, trader, retailer, importer etc.",http://public.crunchbase.com/t_api_images/sidiimy4qowcxdodfjcn,sangeetametal.com/,https://www.sangeetametal.com/,https://www.facebook.com/Sangeeta-Metal-Corporation-506788249799151/?modal=admin_todo_tour,,,Mumbai,Maharashtra,India,1598884005,1598884005
system-product-a281,organizations/system-product-a281,organization/system-product-a281,https://api.crunchbase.com/v3.1/organizations/system-product-a281,System Product,,,company,System Product is a software system development company.,http://public.crunchbase.com/t_api_images/mshxqyhq19ctcajuhnvq,sysproduct.com/,http://www.sysproduct.com/,,,,Okayama,Okayama,Japan,1598336153,1598883983
mitchells-cabinet-shop,organizations/mitchells-cabinet-shop,organization/mitchells-cabinet-shop,https://api.crunchbase.com/v3.1/organizations/mitchells-cabinet-shop,Mitchells Cabinet Shop,,,company,Mitchells Cabinet Shop specializes in product design for various types of projects and offers hardware products at reasonable prices.,,mitchellscabinetshop.com/,http://www.mitchellscabinetshop.com/,,,,Hogansville,Georgia,United States,1598515095,1598883981
loyalfinance-ou,organizations/loyalfinance-ou,organization/loyalfinance-ou,https://api.crunchbase.com/v3.1/organizations/loyalfinance-ou,Loyalfinance OU,,,company,bitofheaven.io Operator,http://public.crunchbase.com/t_api_images/hbxnrqihyvfpekmhjrdi,bitofheaven.io/,https://bitofheaven.io/,,,,Tallinn,Harjumaa,Estonia,1598883114,1598883938
hdn-global,organizations/hdn-global,organization/hdn-global,https://api.crunchbase.com/v3.1/organizations/hdn-global,HDN Global,,,company,"HotelRunner helps hotels maximize online visibility, boost occupancy rates and increase revenues – all online, in one single dashboard.",http://public.crunchbase.com/t_api_images/nofypx4v3cc7zmtdk3ly,hdnglobal.com,http://www.hdnglobal.com,http://www.facebook.com/pages/HDN-Global/182790655081189,http://twitter.com/hdnglobal,,Istanbul,Istanbul,Turkey,1391543334,1598883846
max-wave-media,organizations/max-wave-media,organization/max-wave-media,https://api.crunchbase.com/v3.1/organizations/max-wave-media,Max Wave Media,,,company,"Max Wave Media is a strategic creative firm that consistently delivers services in animation, VR and drone photography.",http://public.crunchbase.com/t_api_images/ictalttziutoyr7nx43g,maxwavemedia.com/,https://www.maxwavemedia.com/,https://www.facebook.com/maxwave3D/,https://twitter.com/MaxWaveMedia1,https://www.linkedin.com/company/max-wave-media/,Marietta,Georgia,United States,1598512271,1598883806
hgc-manchester-limited-1f1a,organizations/hgc-manchester-limited-1f1a,organization/hgc-manchester-limited-1f1a,https://api.crunchbase.com/v3.1/organizations/hgc-manchester-limited-1f1a,HGC MANCHESTER LIMITED,,,company,We are one of the UK’s leading exporters of Welding consumables. With an extensive experience of over 20 years in the industry.,http://public.crunchbase.com/t_api_images/sw8tkpyqcsabdobmizji,hgcmanchester.com/,https://www.hgcmanchester.com/,,,,Manchester,Manchester,United Kingdom,1598883760,1598883760
technology-information-meme-embody,organizations/technology-information-meme-embody,organization/technology-information-meme-embody,https://api.crunchbase.com/v3.1/organizations/technology-information-meme-embody,Technology Information Meme Embody,,,company,"Technology Information Meme Embody specializes in IT, cosmetics, and education solution businesses.",http://public.crunchbase.com/t_api_images/rl5carhsgq1mcnemn5pc,co.jp/,http://www.time21.co.jp/,https://www.facebook.com/time21c,,,Tokyo,Tokyo,Japan,1598267693,1598883614
beacon-moving,organizations/beacon-moving,organization/beacon-moving,https://api.crunchbase.com/v3.1/organizations/beacon-moving,Beacon Moving,,,company,Beacon Moving provides the best moving services in California.,http://public.crunchbase.com/t_api_images/z4xiwak1nyjvnxp50zpf,beaconmoving.com/,https://www.beaconmoving.com/,https://www.facebook.com/Beacon-Moving-543263879170705/,https://twitter.com/BeaconMovingNY,https://www.linkedin.com/company/65368403/admin/,,,,1598883432,1598883596
asymmetry,organizations/asymmetry,organization/asymmetry,https://api.crunchbase.com/v3.1/organizations/asymmetry,Asymmetry,,,company,Contemporary remote school of product and marketing management skills,,asmtry.com/,https://asmtry.com/,https://www.facebook.com/asm.try/,,,,,,1598883537,1598883537
soleria-capital,organizations/soleria-capital,organization/soleria-capital,https://api.crunchbase.com/v3.1/organizations/soleria-capital,Soleria Capital,,,investor,Soleria Capital is an early-stage venture capital firm investing in Seed to Series A investment rounds in dynamic tech companies.,http://public.crunchbase.com/t_api_images/xz99wgzyymkhodx1cytb,soleriacapital.com,http://www.soleriacapital.com,,,https://www.linkedin.com/company/soleriacapital/,Munich,Bayern,Germany,1524093155,1598883511
showstopper-exhibits,organizations/showstopper-exhibits,organization/showstopper-exhibits,https://api.crunchbase.com/v3.1/organizations/showstopper-exhibits,Showstopper Exhibits,,,company,"Showstopper Exhibits specializes in exhibition displays, graphics, banner stands, and accessories for trade show displays.",http://public.crunchbase.com/t_api_images/ymb6yuesa9rlcgejdjli,showstopperexhibits.com/,http://www.showstopperexhibits.com/,https://www.facebook.com/ShowstopperExhibits/,,,Richmond,Virginia,United States,1598883508,1598883508
mach-capital,organizations/mach-capital,organization/mach-capital,https://api.crunchbase.com/v3.1/organizations/mach-capital,MACH Capital,,,investor,MACH Capital is a private equity investment firm.,http://public.crunchbase.com/t_api_images/ov4kj5mpg0nq8zylikv1,,,,,,,,,1598883483,1598883483
capital-reach,organizations/capital-reach,organization/capital-reach,https://api.crunchbase.com/v3.1/organizations/capital-reach,Capital Reach,,,company,Capital Reach provides solutions and services for capturing sessions from the conference.,http://public.crunchbase.com/t_api_images/x96dqaenmypkxospknp4,capitalreach.com/,http://www.capitalreach.com/,,,,Takoma Park,Maryland,United States,1598539849,1598883468
tokyo-doors,organizations/tokyo-doors,organization/tokyo-doors,https://api.crunchbase.com/v3.1/organizations/tokyo-doors,Tokyo Doors,,,company,Tokyo Doors provides web production and consulting services.,http://public.crunchbase.com/t_api_images/nu0bsonrjpve1eo25rjt,co.jp/,http://www.tokyodoors.co.jp/,,https://www.twitter.com/tokyodoors,,Tokyo,Tokyo,Japan,1598265663,1598883455
semalytix,organizations/semalytix,organization/semalytix,https://api.crunchbase.com/v3.1/organizations/semalytix,Semalytix,,,company,Semalytix focusses on Dark Data Understanding. Turning unstructured into structured data. ,http://public.crunchbase.com/t_api_images/fxdtfo1be1w5ooe2uxjj,semalytix.de,https://www.semalytix.de,,https://twitter.com/semalytix,https://www.linkedin.com/company/semalytix-gmbh,Bielefeld,Nordrhein-Westfalen,Germany,1518957325,1598883346
pcf,organizations/pcf,organization/pcf,https://api.crunchbase.com/v3.1/organizations/pcf,PCF,,,company,"PCF is a logistics company that focuses on last-mile delivery, track package, parcel support, print and parcel delivery services.",http://public.crunchbase.com/t_api_images/qrykt5zzmdwwirnhjusn,pcfcorp.com/,https://pcfcorp.com/,,,https://www.linkedin.com/company/pcf-publishers-circulation-fulfillment,Towson,Maryland,United States,1598883130,1598883130
codesphere,organizations/codesphere,organization/codesphere,https://api.crunchbase.com/v3.1/organizations/codesphere,Codesphere,,,company,Codesphere is your Zeroconfig Cloud. No config - just code and run web apps from your browser.,http://public.crunchbase.com/t_api_images/w6bekzocom8qu4xyozhu,codesphere.cloud/,https://codesphere.cloud/,https://www.facebook.com/Codesphere.cloud,https://twitter.com/CodesphereCloud,https://www.linkedin.com/company/codesphere-inc/,,,,1598883098,1598883098
network-management,organizations/network-management,organization/network-management,https://api.crunchbase.com/v3.1/organizations/network-management,Network Management,,,company,Network Management is an IT company that specializes in IT support and consulting for small and medium-sized businesses.,http://public.crunchbase.com/t_api_images/pxyfddtru5oke1guuhfd,networkmgmt.com,http://www.networkmgmt.com,https://www.facebook.com/networkmgmt/,,https://www.linkedin.com/company/network-management-inc-/,Vienna,Virginia,United States,1598609866,1598883038
nikola-engineering,organizations/nikola-engineering,organization/nikola-engineering,https://api.crunchbase.com/v3.1/organizations/nikola-engineering,Nikola Engineering,,,company,"Nikola Engineering specializes in providing windows software, electronic design and system development services.",http://public.crunchbase.com/t_api_images/f9xdfdkzsnelbosuidjw,nikola.com/,http://www.nikola.com/,,,https://www.linkedin.com/company/nikola-engineering/,Sequim,Washington,United States,1598852161,1598882902
domain-group-communications,organizations/domain-group-communications,organization/domain-group-communications,https://api.crunchbase.com/v3.1/organizations/domain-group-communications,DomainGroup Communications,,,company,"DomainGroup Communications specializes in e-commerce websites, digital film, video, interface design and photography services.",http://public.crunchbase.com/t_api_images/dsgocmzanfx5olb3gmhq,domaingroup.com,https://domaingroup.com,https://www.facebook.com/domaingroupcom/?pnref=lhc,https://twitter.com/yuchichan,https://www.linkedin.com/company/domaingroup,Seattle,Washington,United States,1598622052,1598882886
ratefor-a-hotelrunner-company,organizations/ratefor-a-hotelrunner-company,organization/ratefor-a-hotelrunner-company,https://api.crunchbase.com/v3.1/organizations/ratefor-a-hotelrunner-company,Ratefor (a HotelRunner Company),,,company,"A global rate analysis, rate shopping and rate comparison platform for hotels and travel agencies.",http://public.crunchbase.com/t_api_images/dp6ksxuuezwd7tfdixbs,ratefor.net,https://ratefor.net,https://www.facebook.com/ratefor,,https://www.linkedin.com/company/ratefor,Istanbul,Istanbul,Turkey,1598882832,1598882832
lafayette-general-hospital,organizations/lafayette-general-hospital,organization/lafayette-general-hospital,https://api.crunchbase.com/v3.1/organizations/lafayette-general-hospital,Lafayette General Health System,,,company,"Lafayette General Health restores, maintains, and improves the health of people in the communities it serves.",http://public.crunchbase.com/t_api_images/vgd08sm09v0zmm8iiig8,lafayettegeneral.com,http://www.lafayettegeneral.com,https://www.facebook.com/lafayettegeneral,,https://www.linkedin.com/company/lafayette-general-health/,Lafayette,Louisiana,United States,1494904499,1598882712
rcg-b931,organizations/rcg-b931,organization/rcg-b931,https://api.crunchbase.com/v3.1/organizations/rcg-b931,Rubin Communications Group,,,company,"Rubin Communications Group is a consulting agency that specializes in marketing, video production, public relations and communication.",http://public.crunchbase.com/t_api_images/l7r8tvydlmbtkfozwqzo,rubincommunications.com/,http://rubincommunications.com/,https://www.facebook.com/rubincommunications/,https://twitter.com/rubincomm,https://www.linkedin.com/company/rubin-communications-group?trk=tyah,Virginia Beach,Virginia,United States,1598512778,1598882710
southern-data-systems,organizations/southern-data-systems,organization/southern-data-systems,https://api.crunchbase.com/v3.1/organizations/southern-data-systems,Southern Data Systems,,,company,"Southern Data Systems offer solutions in the areas of automated data collection, integration and field service applications.",http://public.crunchbase.com/t_api_images/s57nnxuk9ch3sjtzw7ex,southern-data.net,http://www.southern-data.net,,,,Roswell,Georgia,United States,1598609104,1598882602
mizobata,organizations/mizobata,organization/mizobata,https://api.crunchbase.com/v3.1/organizations/mizobata,MIZOBATA,,,company,"MIZOBATA specializes in printing, paperwork, and restaurant business.",http://public.crunchbase.com/t_api_images/b3klxiql48vmazbcnxop,co.jp/,http://www.msp.co.jp/,,,https://www.linkedin.com/company/%E5%92%8C%E6%AD%8C%E5%B1%B1%E3%82%B3%E3%83%B3%E3%83%94%E3%83%A5%E3%83%BC%E3%82%BF%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E3%82%BA%EF%BC%88%E6%9C%89%EF%BC%89,Kinokawa,Wakayama,Japan,1598251696,1598882587
gharpeshiksha-7fa5,organizations/gharpeshiksha-7fa5,organization/gharpeshiksha-7fa5,https://api.crunchbase.com/v3.1/organizations/gharpeshiksha-7fa5,gharpeshiksha,,,company,education,http://public.crunchbase.com/t_api_images/zd2fnqeyk4xyugfro3zb,gharpeshiksha.com/,https://www.gharpeshiksha.com/,https://www.facebook.com/gharpeshikshahometutors,https://twitter.com/gharpeshiksha,https://in.linkedin.com/company/gharpeshiksha,Delhi,Delhi,India,1598882497,1598882497
mail-boss,organizations/mail-boss,organization/mail-boss,https://api.crunchbase.com/v3.1/organizations/mail-boss,Mail Boss,,,company,"Mail Boss is an online store that provides various kinds of mailboxes, accessories, replacement keys and furniture.",http://public.crunchbase.com/t_api_images/nci5myoro41oxu6nwlrx,mailboss.com/,https://www.mailboss.com/,https://www.facebook.com/mailboss/,https://twitter.com/mailboss,,Redmond,Washington,United States,1598618815,1598882485
underscore-creative,organizations/underscore-creative,organization/underscore-creative,https://api.crunchbase.com/v3.1/organizations/underscore-creative,Underscore Creative,,,company,Underscore Creative is a full-service agency that provides its clients with a holistic approach to marketing and advertising needs.,http://public.crunchbase.com/t_api_images/uh8cqvii3mkewupojrq7,underscorecreative.com/,https://underscorecreative.com/,https://www.facebook.com/Underscore-Creative-Inc-431295443658134/,,https://www.linkedin.com/company/underscorecreative/,Denver,Colorado,United States,1598504903,1598882397
7offers,organizations/7offers,organization/7offers,https://api.crunchbase.com/v3.1/organizations/7offers,7offers,,,company,7offers is an affiliate marketing and performance advertising platform operating via CPA (Cost Per Action) model.,http://public.crunchbase.com/t_api_images/v1436275322/d6f21yt7hayw74kkf26x.jpg,7offers.ru,https://7offers.ru,https://www.facebook.com/7offers.ru,https://www.twitter.com/7offers_ru,,,,,1436275563,1598882377
edozo,organizations/edozo,organization/edozo,https://api.crunchbase.com/v3.1/organizations/edozo,edozo,,,company,Transforming commercial property valuation with data aggregation and process automation,http://public.crunchbase.com/t_api_images/igcifsnewqggfjulifcs,edozo.com,https://www.edozo.com,,https://twitter.com/edozo_uk,https://www.linkedin.com/company/edozo,London,England,United Kingdom,1533375934,1598882311
keller-supply-company,organizations/keller-supply-company,organization/keller-supply-company,https://api.crunchbase.com/v3.1/organizations/keller-supply-company,Keller Supply Company,,,company,"Keller Supply Company is a wholesaler of plumbing, HVAC, pool and spa products.",http://public.crunchbase.com/t_api_images/smx8kyqqh3tfiqztv5qb,kellersupply.com,http://www.kellersupply.com,https://www.facebook.com/Kellersupply/?ref=hl,https://twitter.com/KellerSupply,https://www.linkedin.com/company/keller-supply-company/,Seattle,Washington,United States,1598607360,1598882304
stage-8e38,organizations/stage-8e38,organization/stage-8e38,https://api.crunchbase.com/v3.1/organizations/stage-8e38,Stage,,,investor,Stage is a private equity firm focused on acquiring controlling interests in companies undergoing a change in capital structure.,http://public.crunchbase.com/t_api_images/yxl0abj1szdkpe2zxioc,stagefund.com/,https://www.stagefund.com/,https://www.facebook.com/thestagefund/,https://twitter.com/thestagefund,https://www.linkedin.com/company/stagefund,Denver,Colorado,United States,1598861708,1598882226
another-color,organizations/another-color,organization/another-color,https://api.crunchbase.com/v3.1/organizations/another-color,Another Color,,,company,"Another Color is a strategic creative firm that offers a wide portfolio of solutions in designing, publication, branding and identity.",http://public.crunchbase.com/t_api_images/pepgxkgnbv1oen1d2xzr,anothercolor.com/,https://anothercolor.com/,https://www.facebook.com/Another-Color-Inc-348826362609792/,,,Avon,Colorado,United States,1598504444,1598882198
steppix,organizations/steppix,organization/steppix,https://api.crunchbase.com/v3.1/organizations/steppix,Steppix,,,company,Smarter home dance training,http://public.crunchbase.com/t_api_images/xoasefpalwvevt622pog,steppix.dance/,https://steppix.dance/,,,,Grünwald,Bayern,Germany,1598874893,1598882197
sagar-prakash-alloys,organizations/sagar-prakash-alloys,organization/sagar-prakash-alloys,https://api.crunchbase.com/v3.1/organizations/sagar-prakash-alloys,Sagar Prakash Alloys,,,company,"SagarPrakash Alloys is the most trusted and reputed suppliers of alloys consumables, Copper pipes and tubes, Copper flats, Copper coils, etc",http://public.crunchbase.com/t_api_images/spizf6so7jzngbx40lac,spalloys.com/,https://www.spalloys.com/,https://www.facebook.com/sagarprakashalloys,,,Mumbai,Maharashtra,India,1598882183,1598882183
big-ladder-software,organizations/big-ladder-software,organization/big-ladder-software,https://api.crunchbase.com/v3.1/organizations/big-ladder-software,Big Ladder Software,,,company,"Big Ladder Software specializes in technical support, consultation, training workshops, web-based documentation and applications.",http://public.crunchbase.com/t_api_images/t61vrduxyrvkopdblftv,bigladdersoftware.com/,https://bigladdersoftware.com/,,,https://www.linkedin.com/company/big-ladder-software/,Denver,Colorado,United States,1598614421,1598882141
onetwosmile,organizations/onetwosmile,organization/onetwosmile,https://api.crunchbase.com/v3.1/organizations/onetwosmile,OneTwoSmile,,,company,OneTwoSmile is a direct-to-consumer clear aligner solution with remote medical supervision that is democratizing access to straight teeth,http://public.crunchbase.com/t_api_images/g6xg1hvapvkglwgzvmbr,onetwosmile.com,http://www.onetwosmile.com,https://www.facebook.com/onetwosmiledental/,https://twitter.com/12SmileDental,,Dubai,Dubai,United Arab Emirates,1550413022,1598881894
offspring-net,organizations/offspring-net,organization/offspring-net,https://api.crunchbase.com/v3.1/organizations/offspring-net,Offspring Net,,,company,"Offspring Net offers web development, graphic design, e-commerce, internet and web hosting services.",http://public.crunchbase.com/t_api_images/h3igd4hscqzgnzw5q880,offspringnet.net,http://www.offspringnet.net,,,,Colorado Springs,Colorado,United States,1598620546,1598881820
the-all-japan-airport-terminal-association-inc,organizations/the-all-japan-airport-terminal-association-inc,organization/the-all-japan-airport-terminal-association-inc,https://api.crunchbase.com/v3.1/organizations/the-all-japan-airport-terminal-association-inc,"The All Japan Airport Terminal Association, inc.",,,company,"The All Japan Airport Terminal Association, inc. specializes in facilities and management of airport terminal buildings and guidance.",,or.jp/,http://www.air-terminal.or.jp/,,,,Setagaya,Tokyo,Japan,1598012419,1598881773
air-charter-advisors,organizations/air-charter-advisors,organization/air-charter-advisors,https://api.crunchbase.com/v3.1/organizations/air-charter-advisors,Air Charter Advisors,,,company,"Private Jet, Helicopter, and Yacht Charter Broker with On-demand Worldwide Services",http://public.crunchbase.com/t_api_images/v1397187018/a1b9a4c4eb64f6ee3db689c82fb18a33.jpg,aircharteradvisors.com/,https://www.aircharteradvisors.com/,http://www.facebook.com/AirCharterAdvisorsInc,http://twitter.com/private_flights,http://www.linkedin.com/company/air-charter-advisors-inc-,Boca Raton,Florida,United States,1350902908,1598881736
viewster,organizations/viewster,organization/viewster,https://api.crunchbase.com/v3.1/organizations/viewster,video intelligence,,,company,SaaS video monetization platform,http://public.crunchbase.com/t_api_images/vjn7tlekqclyecfrp3h4,vi.ai,http://www.vi.ai,,https://twitter.com/tweetvi?lang=en,https://www.linkedin.com/company/video-intelligence-ag/,Zürich,Zurich,Switzerland,1367009078,1598881655
qed-enterprises,organizations/qed-enterprises,organization/qed-enterprises,https://api.crunchbase.com/v3.1/organizations/qed-enterprises,QED Enterprises,,,company,"QED Enterprises engaged in program management, construction, logistics and security escort services.",http://public.crunchbase.com/t_api_images/gjypfxhfxgux7hlbcarz,qedei.com/,https://qedei.com/,,,https://www.linkedin.com/company/qed-enterprises-inc/,Woodbridge,Ontario,Canada,1598535590,1598881593
empire-builders,organizations/empire-builders,organization/empire-builders,https://api.crunchbase.com/v3.1/organizations/empire-builders,Empire Builders,,,company,"Empire Builders is a consulting firm that provides value-creating services within online advertising, digital media and domain marketing.",http://public.crunchbase.com/t_api_images/hm7cknnm16qnnopywdjy,paidsearch.co/,https://www.paidsearch.co/,,https://twitter.com/paidsearchmedia,,San Francisco,California,United States,1598441327,1598881527
